LABEL,LAT,LON,DIR
1-1.png,37.81355986613899,-122.27638285293636,21
1-2.png,37.81355986613899,-122.27638285293636,201
2-1.png,37.813957221916425,-122.2913463656595,193
2-2.png,37.813957221916425,-122.2913463656595,13
3-1.png,37.81401171298535,-122.27753155124883,21
3-2.png,37.81401171298535,-122.27753155124883,201
4-1.png,37.81168437299536,-122.27970181564798,112
4-2.png,37.81168437299536,-122.27970181564798,292
5-1.png,37.81435425465873,-122.27840733704238,21
5-2.png,37.81435425465873,-122.27840733704238,201
6-1.png,37.81209717453372,-122.28523402232145,110
6-2.png,37.81209717453372,-122.28523402232145,290
7-1.png,37.813764327506235,-122.28684330206451,193
7-2.png,37.813764327506235,-122.28684330206451,13
8-1.png,37.810112100170166,-122.28712996011485,290
8-2.png,37.810112100170166,-122.28712996011485,110
9-1.png,37.81109318874934,-122.28214222465198,290
9-2.png,37.81109318874934,-122.28214222465198,110
10-1.png,37.81192381199661,-122.28529687409271,110
10-2.png,37.81192381199661,-122.28529687409271,290
11-1.png,37.81377212049278,-122.29052292535128,192
11-2.png,37.81377212049278,-122.29052292535128,12
12-1.png,37.81478354303612,-122.28659528893321,289
12-2.png,37.81478354303612,-122.28659528893321,109
13-1.png,37.81456538125145,-122.28434904570224,109
13-2.png,37.81456538125145,-122.28434904570224,289
14-1.png,37.813130083663985,-122.27909739110783,201
14-2.png,37.813130083663985,-122.27909739110783,21
15-1.png,37.814997534797506,-122.27848180921772,289
15-2.png,37.814997534797506,-122.27848180921772,109
16-1.png,37.81192528776384,-122.279595910056,289
16-2.png,37.81192528776384,-122.279595910056,109
17-1.png,37.81343898293055,-122.2792033584967,190
17-2.png,37.81343898293055,-122.2792033584967,10
18-1.png,37.813147217360125,-122.28927398324441,290
18-2.png,37.813147217360125,-122.28927398324441,110
19-1.png,37.81344804906793,-122.28355976854466,290
19-2.png,37.81344804906793,-122.28355976854466,110
20-1.png,37.810088338784325,-122.2847874132138,289
20-2.png,37.810088338784325,-122.2847874132138,109
21-1.png,37.81301758085166,-122.28720145815208,196
21-2.png,37.81301758085166,-122.28720145815208,16
22-1.png,37.81329699421868,-122.28921932129084,290
22-2.png,37.81329699421868,-122.28921932129084,110
23-1.png,37.811465985614404,-122.28129324594931,193
23-2.png,37.811465985614404,-122.28129324594931,13
24-1.png,37.81133122712114,-122.28316321186186,290
24-2.png,37.81133122712114,-122.28316321186186,110
25-1.png,37.81362590659621,-122.28806089839956,289
25-2.png,37.81362590659621,-122.28806089839956,109
26-1.png,37.815030936262055,-122.28977541423569,289
26-2.png,37.815030936262055,-122.28977541423569,109
27-1.png,37.8127784820715,-122.27820120351522,201
27-2.png,37.8127784820715,-122.27820120351522,21
28-1.png,37.81060661668992,-122.29063796521464,12
28-2.png,37.81060661668992,-122.29063796521464,192
29-1.png,37.81193458821451,-122.27959253933054,289
29-2.png,37.81193458821451,-122.27959253933054,109
30-1.png,37.81293445265727,-122.27859797079479,201
30-2.png,37.81293445265727,-122.27859797079479,21
31-1.png,37.814476954216325,-122.27982006442296,289
31-2.png,37.814476954216325,-122.27982006442296,109
32-1.png,37.81081433428379,-122.2772543029407,21
32-2.png,37.81081433428379,-122.2772543029407,201
33-1.png,37.81293677479396,-122.28684876495286,196
33-2.png,37.81293677479396,-122.28684876495286,16
34-1.png,37.813297880790316,-122.2884277486282,192
34-2.png,37.813297880790316,-122.2884277486282,12
35-1.png,37.81112851877796,-122.27983235558659,11
35-2.png,37.81112851877796,-122.27983235558659,191
36-1.png,37.81187870911196,-122.27961279137214,289
36-2.png,37.81187870911196,-122.27961279137214,109
37-1.png,37.81485559600309,-122.28656754076354,289
37-2.png,37.81485559600309,-122.28656754076354,109
38-1.png,37.81584398171145,-122.2872725468012,289
38-2.png,37.81584398171145,-122.2872725468012,109
39-1.png,37.81459391099331,-122.28516463760839,192
39-2.png,37.81459391099331,-122.28516463760839,12
40-1.png,37.814692005553034,-122.28560494967314,192
40-2.png,37.814692005553034,-122.28560494967314,12
41-1.png,37.81360135510273,-122.28008125458001,190
41-2.png,37.81360135510273,-122.28008125458001,10
42-1.png,37.81280796791956,-122.27827621137432,201
