LABEL,LON,LAT,DIR
1.png,-122.26627648852907,37.835293345927084,323
2.png,-122.22080787522019,37.82865940193222,126
3.png,-122.2069775383441,37.76861426049664,119
4.png,-122.1838839617354,37.75953057463959,357
5.png,-122.17763100190172,37.733811964027765,171
6.png,-122.27982194836889,37.81115094009304,179
7.png,-122.19688786436359,37.78800537954771,319
8.png,-122.17070215364545,37.768202388297325,288
9.png,-122.18556195354546,37.83587186741465,113
10.png,-122.26238787672693,37.80561564407508,99
11.png,-122.2690248406878,37.82429476271106,227
12.png,-122.2714611269004,37.796803618249825,148
13.png,-122.20869035507488,37.76942936124192,127
14.png,-122.23701018302093,37.84260849243566,319
15.png,-122.27554713553775,37.824237992638245,313
16.png,-122.2326987986642,37.79293442836256,260
17.png,-122.28486876657233,37.820873898536654,230
18.png,-122.26847692528342,37.82469026397097,105
19.png,-122.28649604362721,37.84340544492839,332
20.png,-122.2684247377892,37.8458294535791,179
21.png,-122.28452937278719,37.82733082034108,113
22.png,-122.14983079014492,37.7412817885023,9
23.png,-122.27027674027842,37.81871821877726,154
24.png,-122.23518496275295,37.84966141022908,24
25.png,-122.26958758413585,37.809578055688114,346
26.png,-122.18737756398379,37.7301281173914,155
27.png,-122.21954490329253,37.77302050190887,209
28.png,-122.27114419092659,37.80259811989451,151
29.png,-122.18054437334727,37.74137959687722,55
30.png,-122.19657785854375,37.74050438007727,168
31.png,-122.26709685903278,37.82345833844634,204
32.png,-122.233910069589,37.782096108072494,20
33.png,-122.20902853583542,37.825197770515814,209
34.png,-122.28244319952678,37.82773443041386,125
35.png,-122.23660082653197,37.80538871328149,83
36.png,-122.23720276056642,37.77759575621073,81
37.png,-122.26379687840478,37.815553454029455,146
38.png,-122.2281107122229,37.79002772124624,293
39.png,-122.21174534266046,37.75773996664176,38
40.png,-122.18276132820364,37.789496418320745,54
41.png,-122.19746727875679,37.73726821973712,64
42.png,-122.19670966043363,37.78650617081774,59
43.png,-122.25019431158232,37.79399365131,135
44.png,-122.20327668554657,37.84419469075165,145
45.png,-122.20989837868528,37.81515838002289,99
46.png,-122.29401335290129,37.801829887437165,215
47.png,-122.21161627461164,37.75003692446344,311
48.png,-122.1921927774973,37.77334017627547,201
49.png,-122.28743996362559,37.80668354339782,345
50.png,-122.22374406958383,37.830439558880094,356
51.png,-122.19651672954762,37.74077254847639,44
52.png,-122.26816764387611,37.82417933253459,10
53.png,-122.23378330472217,37.80401996057032,166
54.png,-122.2196322918461,37.774635829576944,300
55.png,-122.18222496862393,37.77257935234212,334
56.png,-122.22225754658389,37.77114543379325,0
57.png,-122.27482167910568,37.79608297574257,353
58.png,-122.19421804409942,37.73775086793766,355
59.png,-122.2569457271023,37.8206290534533,346
60.png,-122.25397323762566,37.79585846507132,133
61.png,-122.17929760277451,37.740725306717,39
62.png,-122.2697194199233,37.8353570993932,276
63.png,-122.20320623494959,37.78788194226147,131
64.png,-122.23446108766079,37.78252046017909,179
65.png,-122.16799567673291,37.76008860509745,38
66.png,-122.13693361034518,37.75413505557025,163
67.png,-122.26609764407836,37.82340213924686,332
68.png,-122.23199523086718,37.85947316092322,257
69.png,-122.28179617624232,37.844239700355224,351
70.png,-122.16477712875825,37.74151787501001,340
71.png,-122.23726403823277,37.83078967815516,197
72.png,-122.23720191640685,37.77774882593101,86
73.png,-122.17956582350243,37.7680684310259,82
74.png,-122.16534876552028,37.742977339399516,297
75.png,-122.24433873684498,37.84816227444368,128
76.png,-122.18361865483139,37.757545573567846,288
77.png,-122.28252218190387,37.84727027246154,224
78.png,-122.2671895978191,37.835492355766924,331
79.png,-122.19105506646112,37.795509123043274,97
80.png,-122.18828290635396,37.731833628549055,153
81.png,-122.25350342007816,37.81826574330336,214
82.png,-122.248679830515,37.801649948400154,332
83.png,-122.22444623864554,37.80879291186711,193
84.png,-122.27423237613675,37.82948443404359,161
85.png,-122.18322465387878,37.771623200605106,1
86.png,-122.28084329442663,37.84155673243241,259
87.png,-122.28286559048016,37.82786415987689,89
88.png,-122.1809748092966,37.74175932816267,258
89.png,-122.2170616594577,37.77340969455713,49
90.png,-122.23195452475187,37.801980446939055,40
91.png,-122.29168256954942,37.80314257922996,336
92.png,-122.26694442553793,37.824044268114996,310
93.png,-122.20863268892062,37.82529881284242,57
94.png,-122.19684021926994,37.74139678546507,72
95.png,-122.28012627514576,37.80073039891998,290
96.png,-122.26956654491914,37.81764815706153,110
97.png,-122.19345033006122,37.806332209669776,131
98.png,-122.29321816880076,37.81119630840387,106
99.png,-122.20926526043894,37.825971022786625,83
100.png,-122.22937284382888,37.838819129853015,93
101.png,-122.27197582294738,37.82671995375931,254
102.png,-122.16576851498304,37.753865929027725,72
103.png,-122.32198693676771,37.80509450426282,66
104.png,-122.2518576819218,37.816200576495035,0
105.png,-122.18124237449464,37.76077790362263,15
106.png,-122.20011153540712,37.81992843269461,15
107.png,-122.2262792510664,37.80060032795485,164
108.png,-122.26048042226239,37.811248042316784,206
109.png,-122.17963448726238,37.783591880239236,265
110.png,-122.22528618353527,37.788555816443875,186
111.png,-122.26278556594576,37.83541620073769,119
